weight,species,individual
89.84471379417272,bhc,1
146.99843372912952,bhc,2
83.04312316180174,bhc,3
166.52627762028237,bhc,4
172.5680737110464,bhc,5
51.37779073555034,bhc,6
115.35704935875432,bhc,7
162.5078398105094,bhc,8
121.22980669871095,bhc,9
99.44261449104712,bhc,10
179.93876639629923,bhc,11
112.17089847031555,bhc,12
137.4210554579635,bhc,13
114.53612307301218,bhc,14
69.13206565154695,bhc,15
177.33520489265874,bhc,16
79.93910669264113,bhc,17
53.329963051969635,bhc,18
78.41016929163298,bhc,19
189.84743536660957,bhc,20
159.75154434966436,bhc,21
157.21085849737472,bhc,22
142.92990599249524,bhc,23
180.40810361154084,bhc,24
119.57159180019895,bhc,25
130.58872515980772,bhc,26
116.31484616217445,bhc,27
118.408377856848,bhc,28
76.31160402456894,bhc,29
53.163171489911576,bhc,30
177.18189410681106,bhc,31
159.94785915839762,bhc,32
118.34492190927602,bhc,33
147.15171411472303,bhc,34
58.26324570716536,bhc,35
98.78260617088895,bhc,36
151.3388782178733,bhc,37
54.67443597186411,bhc,38
82.89265458918031,bhc,39
77.88670339647592,gsf,1
65.19318282849251,gsf,2
97.04779240984877,gsf,3
89.47452311444904,gsf,4
81.47271245108617,gsf,5
53.054998548445234,gsf,6
62.898471143899464,gsf,7
63.388899963767365,gsf,8
98.01337564949884,gsf,9
74.34049416114829,gsf,10
179.1521745781519,gsf,11
44.83033997391592,gsf,12
102.0510287969785,gsf,13
152.269333057189,gsf,14
50.17036287695866,gsf,15
115.42024353343288,gsf,16
84.11343823448037,gsf,17
64.94568247343113,gsf,18
144.88463241269196,gsf,19
162.409636539447,gsf,20
70.17036173956512,gsf,21
142.53741310965188,gsf,22
42.131713111055554,gsf,23
99.34749257448071,gsf,24
97.0350964663348,gsf,25
139.49389610576523,gsf,26
107.56805276244607,gsf,27
150.5981671388122,gsf,28
137.86071728697823,gsf,29
135.633100087802,gsf,30
83.3625628434059,gsf,31
139.34142041480158,gsf,32
111.3372854854879,gsf,33
144.8201348557669,gsf,34
67.54223775467788,gsf,35
91.32625011802546,gsf,36
79.17774100427296,gsf,37
99.09378180820448,gsf,38
126.88616956913006,gsf,39
77.67341332822437,gsf,40
57.3744219708057,gsf,41
71.34937671811464,gsf,42
137.28876329065702,gsf,43
92.6798289160239,gsf,44
159.5990127103628,gsf,45
53.89143551883084,gsf,46
109.24041000538037,gsf,47
170.73836009345032,gsf,48
153.71397558951097,gsf,49
197.674254441899,gsf,50
61.766225955352276,gsf,51
63.7744057044745,gsf,52
135.8181982794069,gsf,53
81.85118257509129,gsf,54
135.15943483881918,gsf,55
87.41670371870563,gsf,56
65.27158017131102,rbs,1
149.57147869184163,rbs,2
56.25827986326419,rbs,3
124.31479130823571,rbs,4
101.77513405485837,rbs,5
110.75713798804951,rbs,6
85.69409880188219,rbs,7
109.12643768251077,rbs,8
180.60128272966907,rbs,9
100.65283949266984,rbs,10
155.25045222788225,rbs,11
182.3798931421019,rbs,12
119.48342155776591,rbs,13
86.82277705723607,rbs,14
60.31437138639729,rbs,15
171.14690704975663,rbs,16
92.40219244310144,rbs,17
53.81521499443663,rbs,18
182.67753844196008,rbs,19
134.51598834903862,rbs,20
64.26783799044249,rbs,21
111.2353624364474,rbs,22
177.11949937709758,rbs,23
110.67862753631087,rbs,24
81.54960699464858,rbs,25
148.65906860411368,rbs,26
89.66384067669334,rbs,27
69.60952323559573,rbs,28
65.14633467784066,rbs,29
78.1988220806948,rbs,30
203.09681458248332,rbs,31
76.62424606706293,rbs,32
53.66287219819209,rbs,33
67.51070721331006,rbs,34
130.77677865055344,rbs,35
119.74238593819915,rbs,36
158.16453714110918,rbs,37
126.44482353248488,rbs,38
158.511519427409,rbs,39
109.98969016043452,rbs,40
131.63736860988016,rbs,41
157.48796435859612,rbs,42
161.8584208535375,rbs,43
175.22495531921243,rbs,44
89.39894976490429,rbs,45
99.38315449289615,rbs,46
90.904828144077,rbs,47
40.34397722101019,rbs,48
54.60840118768943,rbs,49
145.48478895578486,rbs,50
66.89658094312243,rbs,51
79.78162390796243,rbs,52
65.82031565359998,rbs,53
81.48647991326719,rbs,54
137.61655425808547,rbs,55
